Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
1478531009,H86NPK,NJ,PAS,06-02-22,40,SDN,BMW,C,12600,12425,23800,0,45,45,0,100309,COOP,0,0559A,,BX,O,100,BENCHLEY PL,,0,408,E2,,BBBBBBB,ALL,ALL,GRY,0,0,-,0,,,,,
1446447856,KRP1565,NY,PAS,06-02-22,98,SUBN,NISSA,P,0,40404,40404,20230915,49,49,49,959695,49,0,0100A,,BX,F,2328,MATHEWS AVE,,0,408,F1,,BBBBBBB,ALL,ALL,GRAY,0,2021,-,0,,,,,
1447728257,KMM5978,NY,PAS,06-02-22,19,SDN,NISSA,P,7440,5055,5070,20230504,114,114,114,959896,114,0,0214A,,,F,02-Jul,27 AVE,,0,408,D,,BBBBBBB,ALL,ALL,BLK,0,2019,-,0,,,,,
1457414648,JHL8826,NY,PAS,06-02-22,51,P-U,RAM,P,17380,31425,25908,20230505,123,123,123,944499,123,0,0630A,,R,F,28,BARCLAY CIR,,0,408,F7,,BBBBBBB,ALL,ALL,BK,0,2019,-,0,,,,,
1482726180,GCK1306,NY,PAS,06-02-22,40,SUBN,HONDA,P,55930,18950,59830,20220928,75,75,75,962590,75,0,1110P,,K,F,325,LINCOLN AVE,,0,408,E2,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1482762973,LWG3666,PA,PAS,06-02-22,40,SUBN,CHEVR,P,39230,42730,13430,0,75,75,75,932864,75,0,0731P,,K,F,171,ELTON STREET,,0,408,K6,,BBBBBBB,ALL,ALL,BLUE,0,0,-,0,,,,,
1483102531,HUW5176,NY,PAS,06-02-22,40,SDN,CHEVR,F,36030,73030,14480,20231226,61,61,276,919186,2276,0,0535P,,K,F,1706,E 27 STREET,,0,408,C,,BBBBBBB,ALL,ALL,TAN,0,2015,-,0,,,,,
1483804501,HJR8248,NY,PAS,06-02-22,98,SDN,TOYOT,P,24730,63030,93230,20221107,88,88,88,962153,88,0,0315P,,K,F,199,CARLTON AVE,,0,408,F2,,BBBBBBB,ALL,ALL,GREY,0,2019,-,0,,,,,
1475716035,KVZ5497,NY,PAS,06-02-22,21,SDN,FORD,S,14810,23290,23490,20231125,107,107,0,643487,QE08,0,1041A,,Q,O,150-80,70 ROAD,,0,408,D,,BBBYBBB,1030A,1200P,GREY,0,2013,-,0,,,,,
1475716084,GPU2186,NY,PAS,06-02-22,21,SDN,TOYOT,S,23490,41700,14810,20221104,107,107,0,643487,QE08,0,1055A,,Q,F,70-40,153 STREET,,0,408,D1,,BBBBBBB,1030A,1200P,BLUE,0,2006,-,0,,,,,
1475716096,KWG7455,NY,PAS,06-02-22,21,SUBN,HONDA,S,14810,23090,23290,20240425,107,107,0,643487,QE08,0,1056A,,Q,F,147-15,70 ROAD,,0,408,D1,,BBBYBBB,1030A,1200P,BLUE,0,2022,-,0,,,,,
1475716114,KUW9614,NY,PAS,06-02-22,21,SUBN,LEXUS,S,14640,14290,23290,20240228,107,107,0,643487,QE08,0,1107A,,Q,F,147-51,69 ROAD,,0,408,D1,,BBBYBBB,1030A,1200P,GRAY,0,2022,-,0,,,,,
1484697236,HAR4450,NY,PAS,06-02-22,67,SUBN,KIA,P,11585,26390,15010,20230717,5,5,1,160195,1,0,1205P,,NY,F,,COLEMAN PLAYGROUND,,0,408,E3,,BBBBBBB,ALL,ALL,GRAY,0,2021,-,0,,,,,
1487154781,JCE7510,NY,PAS,06-02-22,50,SUBN,HONDA,P,49690,24540,24590,20220906,103,103,103,956722,103,0,0718P,,Q,O,,169-08 HILLSIDE AVE,,0,408,F2,,BBBBBBB,ALL,ALL,BLUE,0,2006,-,0,,,,,
1486489096,KVH6874,NY,PAS,06-02-22,46,SUBN,DODGE,P,10810,36670,36690,20240417,32,32,32,970602,32,0,0832A,,NY,F,2733,8TH AVE,,0,408,E5,,BBBBBBB,ALL,ALL,GRY,0,2015,-,0,,,,,
1486774337,JNX6657,NY,PAS,06-02-22,14,SDN,NISSA,P,0,0,0,20240310,13,13,2,101507,2,0,0825A,0825A,NY,,,N/S E 28 ST,1 AVE,0,408,C,,BBBBBBB,ALL,ALL,WH,0,2007,-,0,,,,,
1485675868,GEH5215,NY,PAS,06-02-22,17,SUBN,ME/BE,C,14590,22995,45290,20230117,5,5,0,0,0MSC,0,0715A,,NY,F,111,CENTRE ST,,0,408,E1,,YYYYYBB,0700A,0700P,BL,0,2019,-,0,,,,,
1485675870,HFZ1432,NY,PAS,06-02-22,17,SDN,BL/BI,C,14590,22995,45290,20240527,5,5,0,0,0MSC,0,0720A,,NY,F,111,CENTRE ST,,0,408,C4,,YYYYYBB,0700A,0700P,RD,0,2019,-,0,,,,,
1485675881,KWM7278,NY,PAS,06-02-22,45,SUBN,LEXUS,C,14590,22995,45290,20240329,5,5,0,0,0MSC,0,1130A,,NY,F,100,CENTRE ST,,0,408,C4,,BBBBBBB,ALL,ALL,BL,0,2009,-,0,,,,,
1487730810,HPU8864,NY,PAS,06-02-22,27,SDN,MAZDA,K,13820,42850,0,20230618,84,84,4,160431,4,0,1122A,,K,,150,BROOKLYN BRIDGE PK,FURMAN ST,0,408,D,,BBBBBBB,ALL,ALL,GRY,0,2008,-,0,,,,,
1487742757,HJR8248,NY,PAS,06-02-22,98,P-U,TOYOT,P,0,0,0,20221107,88,88,88,966298,88,0,0726P,,K,,,N/S WILLIUGHBY,E CARLTON AVE,0,408,K2,,BBBBBBB,ALL,ALL,GRAY,0,2017,-,0,,,,,
1488789514,KWL2966,NY,PAS,06-02-22,20,SDN,HONDA,K,0,40404,40404,20240419,110,110,3,161426,3,0,1155A,,Q,F,,PARKS OF AMERICA,,0,408,D,,BBBBBBB,ALL,ALL,GRAY,0,2007,-,0,,,,,
4024559035,KDF4782,NY,PAS,06-02-22,5,4DSD,HONDA,V,0,0,0,0,,0,0,0,,,0845A,,BX,,,WB E 161ST ST @ SHER,MAN AVE,0,1111,C,T,,,,BK,,2017,,0,,BUS LANE VIOLATION,,,
4024559047,JBN6023,NY,PAS,06-02-22,5,SUBN,TOYOT,V,0,0,0,0,,0,0,0,,,0845A,,BX,,,WB E 161ST ST @ SHER,MAN AVE,0,1111,C,T,,,,GR,,2012,,0,,BUS LANE VIOLATION,,,
4024559059,JBH1927,NY,PAS,06-02-22,5,4DSD,NISSA,V,0,0,0,0,,0,0,0,,,0845A,,BX,,,WB E 161ST ST @ SHER,MAN AVE,0,1111,C,T,,,,GY,,2017,,0,,BUS LANE VIOLATION,,,
4024559060,GGM9460,NY,PAS,06-02-22,5,SUBN,HONDA,V,0,0,0,0,,0,0,0,,,0848A,,BK,,,WB KINGS HIGHWAY @ E,41ST ST,0,1111,C,T,,,,BL,,2006,,0,,BUS LANE VIOLATION,,,
4024559084,KPP7948,NY,PAS,06-02-22,5,SUBN,JEEP,V,0,0,0,0,,0,0,0,,,0859A,,QN,,,EB JAMAICA AVE @ SUT,PHIN BLVD,0,1111,C,T,,,,BK,,2014,,0,,BUS LANE VIOLATION,,,
4024559096,HYJ6942,NY,PAS,06-02-22,5,SUBN,HYUND,V,0,0,0,0,,0,0,0,,,0859A,,QN,,,EB JAMAICA AVE @ SUT,PHIN BLVD,0,1111,C,T,,,,GY,,2003,,0,,BUS LANE VIOLATION,,,
4024559102,JCE9598,NY,PAS,06-02-22,5,4DSD,HONDA,V,0,0,0,0,,0,0,0,,,0901A,,QN,,,EB JAMAICA AVE @ SUT,PHIN BLVD,0,1111,C,T,,,,BK,,2015,,0,,BUS LANE VIOLATION,,,
4024559114,KPY2435,NY,PAS,06-02-22,5,SUBN,ACURA,V,0,0,0,0,,0,0,0,,,0910A,,BK,,,WB CHURCH AVE @ E 8T,H ST,0,1111,C,T,,,,WH,,2022,,0,,BUS LANE VIOLATION,,,
4024559138,KPD6996,NY,PAS,06-02-22,5,SUBN,LEXUS,V,0,0,0,0,,0,0,0,,,0928A,,BX,,,WB E 161ST ST @ SHER,MAN AVE,0,1111,C,T,,,,BK,,2018,,0,,BUS LANE VIOLATION,,,
4024559140,HLA7237,NY,PAS,06-02-22,5,SUBN,TOYOT,V,0,0,0,0,,0,0,0,,,0928A,,BK,,,NB ROGERS AVE @ MONT,GOMERY ST,0,1111,C,T,,,,GY,,2009,,0,,BUS LANE VIOLATION,,,
4024559151,HXA4879,NY,PAS,06-02-22,5,SUBN,GMC,V,0,0,0,0,,0,0,0,,,0936A,,BX,,,WB E 161ST ST @ SHER,MAN AVE,0,1111,C,T,,,,GY,,2020,,0,,BUS LANE VIOLATION,,,
4024559163,KSJ6125,NY,PAS,06-02-22,5,4DSD,HONDA,V,0,0,0,0,,0,0,0,,,0945A,,MN,,,WB W 181ST ST @ AUDU,BON AVE,0,1111,C,T,,,,BR,,2010,,0,,BUS LANE VIOLATION,,,
4024559175,KSX6366,NY,PAS,06-02-22,5,SUBN,HONDA,V,0,0,0,0,,0,0,0,,,0953A,,QN,,,EB ARCHER AVE @ 160T,H ST,0,1111,C,T,,,,GY,,2009,,0,,BUS LANE VIOLATION,,,
4024559199,KSM9081,NY,PAS,06-02-22,5,SUBN,ME/BE,V,0,0,0,0,,0,0,0,,,0959A,,QN,,,NB MAIN ST @ 39TH AV,E,0,1111,C,T,,,,BL,,2021,,0,,BUS LANE VIOLATION,,,
4024559230,JCE6980,NY,PAS,06-02-22,5,SUBN,SUBAR,V,0,0,0,0,,0,0,0,,,1021A,,QN,,,EB JAMAICA AVE @ SUT,PHIN BLVD,0,1111,C,T,,,,BK,,2012,,0,,BUS LANE VIOLATION,,,
4024559242,KVN4431,NY,PAS,06-02-22,5,2DSD,ACURA,V,0,0,0,0,,0,0,0,,,1044A,,QN,,,EB JAMAICA AVE @ SUT,PHIN BLVD,0,1111,C,T,,,,BK,,2002,,0,,BUS LANE VIOLATION,,,
4024559254,KVT6229,NY,PAS,06-02-22,5,4DSD,ME/BE,V,0,0,0,0,,0,0,0,,,1047A,,MN,,,WB W 181ST ST @ AUDU,BON AVE,0,1111,C,T,,,,WH,,2010,,0,,BUS LANE VIOLATION,,,
4024559266,KKG3205,NY,PAS,06-02-22,5,4DSD,HYUND,V,0,0,0,0,,0,0,0,,,1053A,,MN,,,WB W 181ST ST @ AUDU,BON AVE,0,1111,C,T,,,,WH,,2013,,0,,BUS LANE VIOLATION,,,
4024559278,KWG7450,NY,PAS,06-02-22,5,4DSD,HONDA,V,0,0,0,0,,0,0,0,,,1058A,,QN,,,EB ARCHER AVE @ 160T,H ST,0,1111,C,T,,,,BK,,2019,,0,,BUS LANE VIOLATION,,,
4024559280,JKV3255,NY,PAS,06-02-22,5,SUBN,LINCO,V,0,0,0,0,,0,0,0,,,1101A,,MN,,,EB E 42ND ST @ LEXIN,GTON AVE,0,1111,C,T,,,,GY,,2019,,0,,BUS LANE VIOLATION,,,
4024559308,HKD9124,NY,PAS,06-02-22,5,SUBN,FORD,V,0,0,0,0,,0,0,0,,,1220P,,MN,,,EB W 14TH STREET @ 5,TH AVE,0,1111,C,T,,,,WH,,2006,,0,,BUS LANE VIOLATION,,,
4024559333,KKY8726,NY,PAS,06-02-22,5,SUBN,MITSU,V,0,0,0,0,,0,0,0,,,1245P,,BX,,,WB E 149TH ST @ BERG,EN AVE,0,1111,C,T,,,,WH,,2021,,0,,BUS LANE VIOLATION,,,
4024559370,KSU9173,NY,PAS,06-02-22,5,4DSD,ACURA,V,0,0,0,0,,0,0,0,,,1248P,,BK,,,SB JAY ST @ JOHNSON,ST,0,1111,C,T,,,,BL,,2019,,0,,BUS LANE VIOLATION,,,
4024559400,JHV8649,NY,PAS,06-02-22,5,4DSD,NISSA,V,0,0,0,0,,0,0,0,,,1254P,,BK,,,SB UTICA AVE @ SNYDE,R AVE,0,1111,C,T,,,,BK,,2008,,0,,BUS LANE VIOLATION,,,
4024559412,KTN3131,NY,PAS,06-02-22,5,4DSD,NISSA,V,0,0,0,0,,0,0,0,,,1254P,,BK,,,SB NOSTRAND AVE @ AV,E D,0,1111,C,T,,,,GY,,2022,,0,,BUS LANE VIOLATION,,,
4024559424,KJM7778,NY,PAS,06-02-22,5,SUBN,ME/BE,V,0,0,0,0,,0,0,0,,,1255P,,MN,,,EB W 14TH STREET @ 5,TH AVE,0,1111,C,T,,,,GR,,2021,,0,,BUS LANE VIOLATION,,,
4024559436,KGA5923,NY,PAS,06-02-22,5,SUBN,HONDA,V,0,0,0,0,,0,0,0,,,1256P,,MN,,,WB E 14TH STREET @ 3,RD AVE,0,1111,C,T,,,,WH,,2020,,0,,BUS LANE VIOLATION,,,
4024559450,KPY9421,NY,PAS,06-02-22,5,SUBN,JEEP,V,0,0,0,0,,0,0,0,,,1256P,,MN,,,WB W 181ST ST @ AUDU,BON AVE,0,1111,C,T,,,,WH,,2021,,0,,BUS LANE VIOLATION,,,
4024559461,KSJ6830,NY,PAS,06-02-22,5,4DSD,CADIL,V,0,0,0,0,,0,0,0,,,1256P,,BX,,,EB E 161ST ST @ GERA,RD AVE,0,1111,C,T,,,,BK,,2014,,0,,BUS LANE VIOLATION,,,
4024559485,KNB9712,NY,PAS,06-02-22,5,SUBN,ME/BE,V,0,0,0,0,,0,0,0,,,1257P,,MN,,,EB W 181ST ST @ WADS,WORTH AVE,0,1111,C,T,,,,BK,,2017,,0,,BUS LANE VIOLATION,,,
4024559503,JLT3035,NY,PAS,06-02-22,5,SUBN,JEEP,V,0,0,0,0,,0,0,0,,,0102P,,BX,,,NB WEBSTER AVE @ E 1,70TH ST,0,1111,C,T,,,,GY,,2017,,0,,BUS LANE VIOLATION,,,
4024559527,JMJ4739,NY,PAS,06-02-22,5,4DSD,NISSA,V,0,0,0,0,,0,0,0,,,0103P,,BK,,,SB JAY ST @ JOHNSON,ST,0,1111,C,T,,,,WH,,2019,,0,,BUS LANE VIOLATION,,,
4024559552,HWY5496,NY,PAS,06-02-22,5,SUBN,ME/BE,V,0,0,0,0,,0,0,0,,,0108P,,QN,,,SB WOODHAVEN BLVD @,JAMAICA AVE,0,1111,C,T,,,,BK,,0,,0,,BUS LANE VIOLATION,,,
4024559590,JAF5093,NY,PAS,06-02-22,5,4DSD,NISSA,V,0,0,0,0,,0,0,0,,,0110P,,BK,,,NB UTICA AVE @ SNYDE,R AVE,0,1111,C,T,,,,GY,,2018,,0,,BUS LANE VIOLATION,,,
4024559606,KTH8642,NY,PAS,06-02-22,5,SUBN,JEEP,V,0,0,0,0,,0,0,0,,,0112P,,BX,,,SB WEBSTER AVE @ E 1,94TH ST,0,1111,C,T,,,,RD,,2014,,0,,BUS LANE VIOLATION,,,
4024559618,KNY7076,NY,OMS,06-02-22,5,SUBN,TOYOT,V,0,0,0,0,,0,0,0,,,0112P,,MN,,,EB W 181ST ST @ WADS,WORTH AVE,0,1111,C,T,,,,BK,,2022,,0,,BUS LANE VIOLATION,,,
4024559620,JRV5192,NY,PAS,06-02-22,5,4DSD,NISSA,V,0,0,0,0,,0,0,0,,,0112P,,QN,,,SB MAIN ST @ 37TH AV,E,0,1111,C,T,,,,GY,,2017,,0,,BUS LANE VIOLATION,,,
4024559631,GLN2288,NY,PAS,06-02-22,5,SUBN,TOYOT,V,0,0,0,0,,0,0,0,,,0114P,,BK,,,SB UTICA AVE @ SNYDE,R AVE,0,1111,C,T,,,,GY,,2013,,0,,BUS LANE VIOLATION,,,
4024559643,JBG3115,NY,PAS,06-02-22,5,PICK,TOYOT,V,0,0,0,0,,0,0,0,,,0115P,,BK,,,SB NOSTRAND AVE @ TI,LDEN AVE,0,1111,C,T,,,,BK,,2018,,0,,BUS LANE VIOLATION,,,
4024559655,JPY8721,NY,PAS,06-02-22,5,SUBN,HONDA,V,0,0,0,0,,0,0,0,,,0115P,,QN,,,NB MAIN ST @ 39TH AV,E,0,1111,C,T,,,,GY,,2006,,0,,BUS LANE VIOLATION,,,
4024559679,KGS9896,NY,PAS,06-02-22,5,4DSD,ME/BE,V,0,63820,0,0,,0,0,0,,,0117P,,BX,,,WB WEST FORDHAM ROAD,@ SEDGWICK AVE,0,1111,C,T,,,,WH,,2019,,0,,BUS LANE VIOLATION,,,
4024559692,KLY8188,NY,PAS,06-02-22,5,2DSD,ACURA,V,0,0,0,0,,0,0,0,,,0121P,,MN,,,EB W 14TH STREET @ 5,TH AVE,0,1111,C,T,,,,GY,,2003,,0,,BUS LANE VIOLATION,,,
4024559709,KWG1430,NY,PAS,06-02-22,5,4DSD,AUDI,V,0,40404,40404,0,,0,0,0,,,0122P,,BK,,,SB UTICA AVE @ AVE N,,0,1111,C,T,,,,GY,,2016,,0,,BUS LANE VIOLATION,,,
4024559734,KGC3234,NY,PAS,06-02-22,5,SUBN,JEEP,V,0,0,0,0,,0,0,0,,,0124P,,QN,,,SB MAIN ST @ 37TH AV,E,0,1111,C,T,,,,GR,,1998,,0,,BUS LANE VIOLATION,,,
4024559783,KVT3865,NY,PAS,06-02-22,5,4DSD,NISSA,V,0,0,0,0,,0,0,0,,,0132P,,BX,,,WB E 161ST ST @ SHER,MAN AVE,0,1111,C,T,,,,WH,,2010,,0,,BUS LANE VIOLATION,,,
4024559795,GPL5369,NY,PAS,06-02-22,5,SUBN,HONDA,V,0,0,0,0,,0,0,0,,,0133P,,MN,,,EB W 14TH STREET @ 5,TH AVE,0,1111,C,T,,,,BR,,2012,,0,,BUS LANE VIOLATION,,,
4024559801,KMM2286,NY,PAS,06-02-22,5,4DSD,HONDA,V,0,0,0,0,,0,0,0,,,0133P,,QN,,,SB WOODHAVEN BLVD @,FURMANVILLE AVE,0,1111,C,T,,,,GY,,2021,,0,,BUS LANE VIOLATION,,,
4024559837,JEF7586,NY,PAS,06-02-22,5,SUBN,CHEVR,V,0,40404,40404,0,,0,0,0,,,0139P,,BK,,,NB UTICA AVE @ AVE L,,0,1111,C,T,,,,BK,,2006,,0,,BUS LANE VIOLATION,,,
4024559850,JKX4232,NY,PAS,06-02-22,5,SUBN,MAZDA,V,0,0,0,0,,0,0,0,,,0146P,,MN,,,EB W 14TH STREET @ 5,TH AVE,0,1111,C,T,,,,BL,,2014,,0,,BUS LANE VIOLATION,,,
4024559862,HFL6868,NY,PAS,06-02-22,5,SUBN,ROVER,V,0,0,0,0,,0,0,0,,,0146P,,QN,,,SB MAIN ST @ FRANKLI,N AVE,0,1111,C,T,,,,BK,,2016,,0,,BUS LANE VIOLATION,,,
4024559904,KUX7856,NY,PAS,06-02-22,5,4DSD,FORD,V,0,0,0,0,,0,0,0,,,0155P,,BX,,,WB E 149TH ST @ BERG,EN AVE,0,1111,C,T,,,,WH,,2016,,0,,BUS LANE VIOLATION,,,
4024559916,KEH5463,NY,PAS,06-02-22,5,4DSD,ME/BE,V,0,0,0,0,,0,0,0,,,0156P,,BK,,,NB ROGERS AVE @ ERAS,MUS ST,0,1111,C,T,,,,GY,,2011,,0,,BUS LANE VIOLATION,,,
4024559930,HHL9468,NY,PAS,06-02-22,5,4DSD,DODGE,V,0,0,0,0,,0,0,0,,,0156P,,QN,,,SB MERRICK BLVD @ BA,ISLEY BLVD,0,1111,C,T,,,,GY,,2015,,0,,BUS LANE VIOLATION,,,
4024559941,GLP4012,NY,PAS,06-02-22,5,SUBN,HYUND,V,0,0,0,0,,0,0,0,,,0157P,,QN,,,SB MAIN ST @ 37TH AV,E,0,1111,C,T,,,,GY,,2010,,0,,BUS LANE VIOLATION,,,
4024559953,KVR7883,NY,PAS,06-02-22,5,SUBN,TOYOT,V,0,0,0,0,,0,0,0,,,0158P,,MN,,,WB E 14TH STREET @ 3,RD AVE,0,1111,C,T,,,,RD,,2016,,0,,BUS LANE VIOLATION,,,
4024559965,HNV8081,NY,PAS,06-02-22,5,4DSD,ME/BE,V,0,0,0,0,,0,0,0,,,0159P,,BK,,,WB CHURCH AVE @ STRA,TFORD RD,0,1111,C,T,,,,GY,,2015,,0,,BUS LANE VIOLATION,,,
4024559977,HEG7823,NY,PAS,06-02-22,5,SUBN,ME/BE,V,0,0,0,0,,0,0,0,,,0202P,,BK,,,NB UTICA AVE @ CHURC,H AVE,0,1111,C,T,,,,GY,,2014,,0,,BUS LANE VIOLATION,,,
4024559989,KST6383,NY,PAS,06-02-22,5,4DSD,NISSA,V,0,0,0,0,,0,0,0,,,0202P,,QN,,,SB MERRICK BLVD @ BA,ISLEY BLVD,0,1111,C,T,,,,WH,,2018,,0,,BUS LANE VIOLATION,,,
4024559990,KJN3785,NY,PAS,06-02-22,5,SUBN,TOYOT,V,0,0,0,0,,0,0,0,,,0203P,,BX,,,EB E 161ST ST @ GERA,RD AVE,0,1111,C,T,,,,WH,,2021,,0,,BUS LANE VIOLATION,,,
4024560001,KEF2523,NY,PAS,06-02-22,5,SUBN,MAZDA,V,0,0,0,0,,0,0,0,,,0205P,,MN,,,NB MADISON AVE @ E 5,9TH ST,0,1111,C,T,,,,WH,,2020,,0,,BUS LANE VIOLATION,,,
4024560013,KUX4095,NY,PAS,06-02-22,5,4DSD,HYUND,V,0,0,0,0,,0,0,0,,,0205P,,QN,,,EB JAMAICA AVE @ SUT,PHIN BLVD,0,1111,C,T,,,,GY,,2015,,0,,BUS LANE VIOLATION,,,
4024560049,JJG3192,NY,PAS,06-02-22,5,SUBN,FORD,V,0,0,0,0,,0,0,0,,,0237P,,MN,,,EB E 23RD ST @ 3RD A,VE,0,1111,C,T,,,,WH,,2011,,0,,BUS LANE VIOLATION,,,
4024569314,KUR3326,NY,PAS,06-02-22,5,4DSD,NISSA,V,0,0,0,0,,0,0,0,,,0105P,,QN,,,SB MAIN ST @ 37TH AV,E,0,1111,C,T,,,,BL,,2017,,0,,BUS LANE VIOLATION,,,
4024569338,KAE4237,NY,OMS,06-02-22,5,4DSD,NISSA,V,0,0,0,0,,0,0,0,,,0129P,,QN,,,SB MAIN ST @ 37TH AV,E,0,1111,C,T,,,,BK,,2019,,0,,BUS LANE VIOLATION,,,
4024569351,KNY5466,NY,PAS,06-02-22,5,CONV,BMW,V,0,0,0,0,,0,0,0,,,0134P,,MN,,,EB W 14TH STREET @ 5,TH AVE,0,1111,C,T,,,,RD,,2004,,0,,BUS LANE VIOLATION,,,
4024569363,KMY5466,NY,PAS,06-02-22,5,SUBN,JEEP,V,0,0,0,0,,0,0,0,,,0134P,,MN,,,EB W 14TH STREET @ 5,TH AVE,0,1111,C,T,,,,BK,,2017,,0,,BUS LANE VIOLATION,,,
4024569417,JHK7864,NY,PAS,06-02-22,5,SUBN,ME/BE,V,0,0,0,0,,0,0,0,,,0151P,,BK,,,SB NOSTRAND AVE @ TI,LDEN AVE,0,1111,C,T,,,,WH,,2021,,0,,BUS LANE VIOLATION,,,
4024626541,KJY6371,NY,PAS,06-02-22,5,SUBN,ACURA,V,0,0,0,0,,0,0,0,,,0115P,,MN,,,EB W 14TH STREET @ 5,TH AVE,0,1111,C,T,,,,BK,,2004,,0,,BUS LANE VIOLATION,,,
4024881978,KYW5362,PA,PAS,06-02-22,5,SW,CHEVR,V,0,68025,0,0,,0,0,0,,,0759A,,QN,,,WB HILLSIDE AVE @ 14,3RD ST,0,1111,C,T,,,,,,2004,,0,,BUS LANE VIOLATION,,,
4024881980,HLG6758,OH,PAS,06-02-22,5,4H,TOYOT,V,0,0,0,0,,0,0,0,,,0924A,,MN,,,WB E 14TH STREET @ 3,RD AVE,0,1111,C,T,,,,BLACK,,2017,,0,,BUS LANE VIOLATION,,,
4024881991,JMV3611,OH,PAS,06-02-22,5,4H,NISSA,V,0,0,0,0,,0,0,0,,,0951A,,BK,,,WB CHURCH AVE @ E 8T,H ST,0,1111,C,T,,,,SILVE,,2018,,0,,BUS LANE VIOLATION,,,
4024882004,HZX9369,PA,PAS,06-02-22,5,SW,HONDA,V,0,0,0,0,,0,0,0,,,1123A,,BK,,,SB NOSTRAND AVE @ LI,NDEN BLVD,0,1111,C,T,,,,,,2009,,0,,BUS LANE VIOLATION,,,
4024882016,LYB4181,PA,PAS,06-02-22,5,SDN,LEXUS,V,0,0,0,0,,0,0,0,,,1124A,,BK,,,SB NOSTRAND AVE @ TI,LDEN AVE,0,1111,C,T,,,,,,2006,,0,,BUS LANE VIOLATION,,,
4024882028,LGF0412,PA,PAS,06-02-22,5,SW,HONDA,V,0,0,0,0,,0,0,0,,,1136A,,BK,,,SB NOSTRAND AVE @ TI,LDEN AVE,0,1111,C,T,,,,,,2009,,0,,BUS LANE VIOLATION,,,
4024882030,KPB5898,PA,PAS,06-02-22,5,SW,AUDI,V,0,0,0,0,,0,0,0,,,1201P,,MN,,,WB E 14TH STREET @ I,RVING PL,0,1111,C,T,,,,,,2017,,0,,BUS LANE VIOLATION,,,
4024882065,KPD6829,PA,PAS,06-02-22,5,SW,NISSA,V,0,0,0,0,,0,0,0,,,1252P,,BK,,,NB UTICA AVE @ CHURC,H AVE,0,1111,C,T,,,,,,2004,,0,,BUS LANE VIOLATION,,,
4024882077,LDV7539,PA,PAS,06-02-22,5,SW,LINCO,V,0,0,0,0,,0,0,0,,,0224P,,BK,,,SB JAY ST @ JOHNSON,ST,0,1111,C,T,,,,,,2002,,0,,BUS LANE VIOLATION,,,
